Timeline Trace
Generated on: 2020-10-18 04:46:07
Msec since Epoch: 1602996367886
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 2d6bfe4ce91051d4e5b499d38fc493586dd4859a
Build version date: 2020-05-26 18:53:06 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
26.18793,clGetPlatformIDs|General,START,,,,,,,,,,,0,
26.32316,clGetPlatformIDs|General,END,,,,,,,,,,,0,
26.37309,clGetPlatformIDs|General,START,,,,,,,,,,,1,
26.3983,clGetPlatformIDs|General,END,,,,,,,,,,,1,
26.4294,clGetPlatformInfo|General,START,,,,,,,,,,,2,
26.45652,clGetPlatformInfo|General,END,,,,,,,,,,,2,
26.4781,clGetPlatformInfo|General,START,,,,,,,,,,,3,
26.49971,clGetPlatformInfo|General,END,,,,,,,,,,,3,
26.6158,clGetDeviceIDs|General,START,,,,,,,,,,,4,
26.64706,clGetDeviceIDs|General,END,,,,,,,,,,,4,
26.66917,clGetDeviceIDs|General,START,,,,,,,,,,,5,
26.69054,clGetDeviceIDs|General,END,,,,,,,,,,,5,
26.71567,clRetainDevice|General,START,,,,,,,,,,,6,
26.73882,clRetainDevice|General,END,,,,,,,,,,,6,
26.78453,clRetainDevice|General,START,,,,,,,,,,,7,
26.8066,clRetainDevice|General,END,,,,,,,,,,,7,
26.83144,clCreateContext|General,START,,,,,,,,,,,8,
32.95887,clCreateContext|General,END,,,,,,,,,,,8,
49.98661,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
138.94906,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
139.0646,clCreateCommandQueue|General,START,,,,,,,,,,,10,
139.11915,clCreateCommandQueue|General,END,,,,,,,,,,,10,
139.14761,clCreateKernel|General,START,,,,,,,,,,,11,
142.95239,clCreateKernel|General,END,,,,,,,,,,,11,
143.01661,clCreateBuffer|General,START,,,,,,,,,,,12,
143.12648,clCreateBuffer|General,END,,,,,,,,,,,12,
143.15117,clCreateBuffer|General,START,,,,,,,,,,,13,
143.19478,clCreateBuffer|General,END,,,,,,,,,,,13,
143.21801,clCreateBuffer|General,START,,,,,,,,,,,14,
143.26025,clCreateBuffer|General,END,,,,,,,,,,,14,
143.29368,clCreateBuffer|General,START,,,,,,,,,,,15,
143.35573,clCreateBuffer|General,END,,,,,,,,,,,15,
143.37912,clCreateBuffer|General,START,,,,,,,,,,,16,
143.43106,clCreateBuffer|General,END,,,,,,,,,,,16,
143.45417,clCreateBuffer|General,START,,,,,,,,,,,17,
143.51552,clCreateBuffer|General,END,,,,,,,,,,,17,
143.56606,clCreateBuffer|General,START,,,,,,,,,,,18,
143.61693,clCreateBuffer|General,END,,,,,,,,,,,18,
143.6406,clCreateBuffer|General,START,,,,,,,,,,,19,
143.69731,clCreateBuffer|General,END,,,,,,,,,,,19,
143.72128,clCreateBuffer|General,START,,,,,,,,,,,20,
143.78245,clCreateBuffer|General,END,,,,,,,,,,,20,
143.82791,clCreateBuffer|General,START,,,,,,,,,,,21,
143.8777,clCreateBuffer|General,END,,,,,,,,,,,21,
143.90148,clCreateBuffer|General,START,,,,,,,,,,,22,
143.95004,clCreateBuffer|General,END,,,,,,,,,,,22,
143.9733,clCreateBuffer|General,START,,,,,,,,,,,23,
144.0218,clCreateBuffer|General,END,,,,,,,,,,,23,
144.37685,clSetKernelArg|General,START,,,,,,,,,,,24,
144.41493,clSetKernelArg|General,END,,,,,,,,,,,24,
144.43656,clSetKernelArg|General,START,,,,,,,,,,,25,
144.46026,clSetKernelArg|General,END,,,,,,,,,,,25,
144.48077,clSetKernelArg|General,START,,,,,,,,,,,26,
144.50296,clSetKernelArg|General,END,,,,,,,,,,,26,
144.52737,clRetainMemObject|General,START,,,,,,,,,,,27,
144.55259,clRetainMemObject|General,END,,,,,,,,,,,27,
