Profile Summary
Generated on: 2020-10-18 06:24:57
Msec since Epoch: 1603002297890
Target platform: 
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 2d6bfe4ce91051d4e5b499d38fc493586dd4859a
Build version date: 2020-05-26 18:53:06 
Target devices: edge-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clFinish,86,463.347,2.57509,5.38776,6.37956,
clCreateProgramWithBinary,1,91.1158,91.1158,91.1158,91.1158,
clReleaseProgram,1,86.1204,86.1204,86.1204,86.1204,
clEnqueueTask,256,68.3789,0.22297,0.267105,1.07098,
clReleaseMemObject,1548,47.5567,0.02096,0.0307214,0.15672,
clEnqueueMigrateMemObjects,512,43.755,0.07079,0.085459,0.88281,
clRetainMemObject,1536,39.3107,0.02083,0.0255929,2.10002,
clReleaseEvent,1536,34.1195,0.02011,0.0222132,0.79313,
clRetainEvent,768,19.2819,0.02036,0.0251066,0.89361,
clSetKernelArg,768,16.828,0.02074,0.0219115,0.1022,
clCreateContext,1,6.13715,6.13715,6.13715,6.13715,
clCreateKernel,1,3.89937,3.89937,3.89937,3.89937,
clCreateBuffer,12,0.68375,0.04154,0.0569792,0.11752,
clReleaseContext,1,0.26869,0.26869,0.26869,0.26869,
clGetPlatformIDs,2,0.17181,0.02587,0.085905,0.14594,
clReleaseKernel,1,0.08637,0.08637,0.08637,0.08637,
clCreateCommandQueue,1,0.05384,0.05384,0.05384,0.05384,
clGetDeviceIDs,2,0.05341,0.0216,0.026705,0.03181,
clReleaseDevice,2,0.04903,0.02203,0.024515,0.027,
clGetPlatformInfo,2,0.04876,0.02168,0.02438,0.02708,
clRetainDevice,2,0.04502,0.02088,0.02251,0.02414,
clReleaseCommandQueue,1,0.03119,0.03119,0.03119,0.03119,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
mmult_fpga,256,1147.82,3.09462,4.48369,6.07882,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
edge-0,mmult_fpga_1,mmult_fpga,1:1:1,1:1:1,256,Yes,1,1.000000x,384.964,1.48112,1.50376,1.56699,300,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,256,89.860202,0.936044,4.096,11.668970,0.045582,
context0:1,WRITE,256,129.746397,1.351525,8.192,16.163470,0.063139,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
edge-0,mmult_fpga_1/m_axi_p0,A,HP0,READ,262144,543.11,4.71449,0.128,235.68,
edge-0,mmult_fpga_1/m_axi_p1,B,HP0,READ,8388608,108.58,0.942532,0.004,287.948,
edge-0,mmult_fpga_1/m_axi_p2,C,HP0,WRITE,1024,2254.48,19.5702,1.024,454.206,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
edge-0,mmult_fpga_1,8651776,7.87786,0.19233,68.1574,1.04858,67.1089,183.575,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
366864076080,mmult_fpga,0,0,edge-0,534.683,6.07882,1:1:1,1:1:1,
366864076080,mmult_fpga,0,0,edge-0,662.289,6.06138,1:1:1,1:1:1,
366864076080,mmult_fpga,0,0,edge-0,576.987,6.05845,1:1:1,1:1:1,
366864076080,mmult_fpga,0,0,edge-0,162.668,6.04578,1:1:1,1:1:1,
366864076080,mmult_fpga,0,0,edge-0,619.27,6.03714,1:1:1,1:1:1,
366864076080,mmult_fpga,0,0,edge-0,396.533,5.98967,1:1:1,1:1:1,
366864076080,mmult_fpga,0,0,edge-0,566.427,5.97564,1:1:1,1:1:1,
366864076080,mmult_fpga,0,0,edge-0,438.816,5.9748,1:1:1,1:1:1,
366864076080,mmult_fpga,0,0,edge-0,990.199,5.97477,1:1:1,1:1:1,
366864076080,mmult_fpga,0,0,edge-0,778.372,5.97384,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
1416208384,0,0,352.144,0.918590,8.192,8.918016,
1416208384,0,0,279.008,0.148370,8.192,55.213318,
1406619648,0,0,373.333,0.143340,8.192,57.150830,
1416208384,0,0,424.582,0.141520,8.192,57.885811,
1406619648,0,0,147.875,0.099410,8.192,82.406197,
1406644224,0,0,1010.91,0.072550,8.192,112.915231,
1406644224,0,0,574.91,0.070560,8.192,116.099773,
1416208384,0,0,914.94,0.069780,8.192,117.397535,
1416208384,0,0,266.897,0.069350,8.192,118.125451,
1406644224,0,0,149.856,0.064240,8.192,127.521793,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
1406631936,0,0,577.137,0.872490,4.096,4.694610,
1416261632,0,0,855.177,0.143610,4.096,28.521691,
1416187904,0,0,155.178,0.074580,4.096,54.920890,
1416261632,0,0,926.925,0.071520,4.096,57.270694,
1406631936,0,0,237.666,0.067000,4.096,61.134328,
1406631936,0,0,152.246,0.066340,4.096,61.742538,
1416187904,0,0,226.937,0.063940,4.096,64.060056,
1416261632,0,0,969.169,0.060810,4.096,67.357343,
1416261632,0,0,883.862,0.060050,4.096,68.209825,
1416261632,0,0,333.277,0.060000,4.096,68.266667,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,edge-0,904.871100,
CU_CALLS,edge-0|mmult_fpga_1,256,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|3,3,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,512,
MEMORY_USAGE,edge-0|HP0,1,
MEMORY_USAGE,edge-0|HP1,0,
MEMORY_USAGE,edge-0|HP2,0,
MEMORY_USAGE,edge-0|HP3,0,
MEMORY_USAGE,edge-0|HPC0,0,
MEMORY_USAGE,edge-0|HPC1,0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,mmult_fpga_1/m_axi_p0,512,
PORT_BIT_WIDTH,mmult_fpga_1/m_axi_p1,32,
PORT_BIT_WIDTH,mmult_fpga_1/m_axi_p2,512,
KERNEL_COUNT,mmult_fpga,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,mmult_fpga,3,
COMMAND_QUEUE_OOO,366864075184,1,
KERNEL_BUFFER_INFO,mmult_fpga|A|HP0|1,4096,
KERNEL_BUFFER_INFO,mmult_fpga|B|HP0|1,4096,
KERNEL_BUFFER_INFO,mmult_fpga|C|HP0|1,4096,
TRACE_BUFFER_FULL,edge-0,0,
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,edge-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,edge-0|PLRAM,512,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,4095M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,11.669,
BUFFER_WR_ACTIVE_TIME_MS,all,16.1635,
BUFFER_TX_ACTIVE_TIME_MS,all,905.729,
APPLICATION_RUN_TIME_MS,all,1143.73,
TOTAL_KERNEL_RUN_TIME_MS,all,904.871,


