Timeline Trace
Generated on: 2020-10-17 22:45:50
Msec since Epoch: 1602974750617
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 2d6bfe4ce91051d4e5b499d38fc493586dd4859a
Build version date: 2020-05-26 18:53:06 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
85.49412,clGetPlatformIDs|General,START,,,,,,,,,,,0,
85.62256,clGetPlatformIDs|General,END,,,,,,,,,,,0,
85.67014,clGetPlatformIDs|General,START,,,,,,,,,,,1,
85.69583,clGetPlatformIDs|General,END,,,,,,,,,,,1,
85.72664,clGetPlatformInfo|General,START,,,,,,,,,,,2,
85.75461,clGetPlatformInfo|General,END,,,,,,,,,,,2,
85.77655,clGetPlatformInfo|General,START,,,,,,,,,,,3,
85.79824,clGetPlatformInfo|General,END,,,,,,,,,,,3,
85.83511,clGetDeviceIDs|General,START,,,,,,,,,,,4,
85.86366,clGetDeviceIDs|General,END,,,,,,,,,,,4,
85.88499,clGetDeviceIDs|General,START,,,,,,,,,,,5,
85.90591,clGetDeviceIDs|General,END,,,,,,,,,,,5,
85.93083,clRetainDevice|General,START,,,,,,,,,,,6,
85.95387,clRetainDevice|General,END,,,,,,,,,,,6,
85.97444,clRetainDevice|General,START,,,,,,,,,,,7,
85.99508,clRetainDevice|General,END,,,,,,,,,,,7,
86.01912,clCreateContext|General,START,,,,,,,,,,,8,
89.95091,clCreateContext|General,END,,,,,,,,,,,8,
89.97986,clCreateCommandQueue|General,START,,,,,,,,,,,9,
90.0171,clCreateCommandQueue|General,END,,,,,,,,,,,9,
107.37112,clCreateProgramWithBinary|General,START,,,,,,,,,,,10,
199.78863,clCreateProgramWithBinary|General,END,,,,,,,,,,,10,
199.90368,clCreateKernel|General,START,,,,,,,,,,,11,
203.7068,clCreateKernel|General,END,,,,,,,,,,,11,
203.74018,clCreateBuffer|General,START,,,,,,,,,,,12,
204.62627,clCreateBuffer|General,END,,,,,,,,,,,12,
204.65474,clCreateBuffer|General,START,,,,,,,,,,,13,
204.84856,clCreateBuffer|General,END,,,,,,,,,,,13,
204.87389,clCreateBuffer|General,START,,,,,,,,,,,14,
205.02598,clCreateBuffer|General,END,,,,,,,,,,,14,
205.05592,clSetKernelArg|General,START,,,,,,,,,,,15,
205.09395,clSetKernelArg|General,END,,,,,,,,,,,15,
205.11585,clSetKernelArg|General,START,,,,,,,,,,,16,
205.13895,clSetKernelArg|General,END,,,,,,,,,,,16,
205.15941,clSetKernelArg|General,START,,,,,,,,,,,17,
205.18179,clSetKernelArg|General,END,,,,,,,,,,,17,
205.20189,clSetKernelArg|General,START,,,,,,,,,,,18,
205.22341,clSetKernelArg|General,END,,,,,,,,,,,18,
205.24923,clEnqueueMapBuffer|368039484288,START,,,,,,,,,,,19,
205.82868,clEnqueueMapBuffer|368039484288,END,,,,,,,,,,,19,
205.86086,clEnqueueMapBuffer|368039484288,START,,,,,,,,,,,20,
205.92117,clEnqueueMapBuffer|368039484288,END,,,,,,,,,,,20,
205.94775,clEnqueueMapBuffer|368039484288,START,,,,,,,,,,,21,
206.00546,clEnqueueMapBuffer|368039484288,END,,,,,,,,,,,21,
206.05398,clRetainMemObject|General,START,,,,,,,,,,,22,
206.08104,clRetainMemObject|General,END,,,,,,,,,,,22,
206.10248,clRetainMemObject|General,START,,,,,,,,,,,23,
206.12528,clRetainMemObject|General,END,,,,,,,,,,,23,
206.14662,clRetainMemObject|General,START,,,,,,,,,,,24,
206.16861,clRetainMemObject|General,END,,,,,,,,,,,24,
206.18933,clRetainMemObject|General,START,,,,,,,,,,,25,
206.21032,clRetainMemObject|General,END,,,,,,,,,,,25,
206.23618,clEnqueueMigrateMemObjects|368039484288,START,,,,,,,,,,,26,
206.29308,WRITE_BUFFER,QUEUE,0X5fc64000|HP0,32768,,,,,,,,,
206.34641,WRITE_BUFFER,SUBMIT,0X5fc64000|HP0,32768,,,,,,,,,
206.38512,clEnqueueMigrateMemObjects|368039484288,END,,,,,,,,,,,26,
206.41821,WRITE_BUFFER,START,0X5fc64000|HP0|0X7f9f237170,32768,,,,,,,3,None,
206.41823,clReleaseMemObject|General,START,,,,,,,,,,,27,
206.52254,WRITE_BUFFER,END,0X5fc64000|HP0|0X7f9f237170,32768,,,,,,,3,None,
206.54062,clReleaseMemObject|General,END,,,,,,,,,,,27,
206.62286,clReleaseMemObject|General,START,,,,,,,,,,,28,
206.64625,clReleaseMemObject|General,END,,,,,,,,,,,28,
206.66761,clReleaseMemObject|General,START,,,,,,,,,,,29,
206.6897,clReleaseMemObject|General,END,,,,,,,,,,,29,
206.71761,clReleaseMemObject|General,START,,,,,,,,,,,30,
206.73999,clReleaseMemObject|General,END,,,,,,,,,,,30,
206.76518,clEnqueueTask|368039484288,START,,,,,,,,,,,31,
206.8429,DEPENDENCY_EVENT,,4,5,
207.01579,KERNEL|edge-0|kernel|krnl_vadd|1:1:1|all,QUEUE,0X55B0DF70C0,1,,,,,,,,,
